Produk,Rating,Ulasan,Clean_Ulasan,Sentiment,Word_Count,Char_Count,Length_Category
Xiaomi 17T (12GB+256GB),4,"Saya kasih bintang 4 karena pilihan kurirnya, untuk kedatangan sesuai tapi lambat sekali. Overall very good and thanks",saya kasih bintang 4 karena pilihan kurirnya untuk kedatangan sesuai tapi lambat sekali overall very good and thanks,Positif,18,118,Panjang (>15 kata)
POCO M7 Pro 5G (8/256G),5,barang masih segel dan aman,barang masih segel dan aman,Positif,5,27,Singkat (4–8 kata)
Xiaomi Power Bank 22.5W 10000mAh Lite,5,"barang sudah sampai di lokasi, sesuai di deskripsi barang ori dan segel. Terima kasih",barang sudah sampai di lokasi sesuai di deskripsi barang ori dan segel terima kasih,Positif,14,85,Sedang (9–15 kata)
Xiaomi 17T (12GB+256GB),4,"Pengiriman , diterima barang sangat cepat . Aman tersegel, hanya sedikit penyok kardus luar. 
Semoga chipset , batre , kamera akan aman untuk penggunaan min 3-5th ke depa...",pengiriman diterima barang sangat cepat aman tersegel hanya sedikit penyok kardus luar semoga chipset batre kamera akan aman untuk penggunaan min 3 5th ke depa,Positif,25,173,Panjang (>15 kata)
Xiaomi 17T (12GB+256GB),5,Sampai dengan selamat packing aman. Headphones bonusnya mantep banget ada noise cancellation dan jadi keinget kalau dulu beli HP pasti ada bonus headsetnya. Semoga ke dep...,sampai dengan selamat packing aman headphones bonusnya mantep banget ada noise cancellation dan jadi keinget kalau dulu beli hp pasti ada bonus headsetnya semoga ke dep,Positif,26,173,Panjang (>15 kata)
Xiaomi Wifi Range Extender N300,5,"Sesuai deskripsi dan sesuai Pic. packing ok mendarat dengan aman dan selamat, barang datang sesuai pesanan, untuk settingnya simpel, mudah tinggal ikuti petunjuk yang di...",sesuai deskripsi dan sesuai pic packing ok mendarat dengan aman dan selamat barang datang sesuai pesanan untuk settingnya simpel mudah tinggal ikuti petunjuk yang di,Positif,25,172,Panjang (>15 kata)
POCO X8 Pro Series,5,Mantapppp sweeekaleeee,mantapppp sweeekaleeee,Positif,2,22,Sangat Singkat (≤3 kata)
Xiaomi 67W HyperCharge Combo Tipe A,5,mantabbbbb...,mantabbbbb,Positif,1,13,Sangat Singkat (≤3 kata)
Xiaomi Redmi Buds 6,4,"packiging nya amburadul banget
selain itu barang berfungsi dengan baik",packiging nya amburadul banget selain itu barang berfungsi dengan baik,Positif,10,70,Sedang (9–15 kata)
POCO X7 Pro 5G,5,segel original .terimakasih poco indonesia ..mantapp jos,segel original terimakasih poco indonesia mantapp jos,Positif,7,56,Singkat (4–8 kata)
POCO X7 Pro 5G,5,barang segel tanpa kendala .original.terimakasih banyak.sukses,barang segel tanpa kendala original terimakasih banyak sukses,Positif,8,62,Singkat (4–8 kata)
POCO X7 Pro 5G,5,original mantap .terimakasih,original mantap terimakasih,Positif,3,28,Sangat Singkat (≤3 kata)
Xiaomi 17T (12GB+256GB),5,"Barang sampai cepet banget, packaging bagus dan overall puas, semoga bisa awet",barang sampai cepet banget packaging bagus dan overall puas semoga bisa awet,Positif,12,78,Sedang (9–15 kata)
Xiaomi 17T (12GB+256GB),5,baterainya badakkk,baterainya badakkk,Positif,2,18,Sangat Singkat (≤3 kata)
Xiaomi Redmi Buds 8 Lite,5,bagus dan bisa berfungsi dengan baik,bagus dan bisa berfungsi dengan baik,Positif,6,36,Singkat (4–8 kata)
Xiaomi Smart Band 9 Active,5,"rapi, cepat, barang berkualitas.",rapi cepat barang berkualitas,Positif,4,32,Singkat (4–8 kata)
Xiaomi 17T (12GB+256GB),1,"Xiaomi Indonesia sepertinya tidak mau menjaga barang pelanggan. packing gak niat dan sangat amat tipis , Box HP sampai dalam kondisi bonyok .., sangat amat mengecewakan �...",xiaomi indonesia sepertinya tidak mau menjaga barang pelanggan packing gak niat dan sangat amat tipis box hp sampai dalam kondisi bonyok sangat amat mengecewakan,Negatif,24,173,Panjang (>15 kata)
Xiaomi Nose Hair Trimmer,5,"Good service.
Pengiriman cepat.
Packing produk bagus.
Recommended seller.",good service pengiriman cepat packing produk bagus recommended seller,Positif,9,73,Sedang (9–15 kata)
POCO C71 4+4G/128G,5,good,good,Positif,1,4,Sangat Singkat (≤3 kata)
Xiaomi Vacuum Cleaner G20 Lite,5,Terima kasih xiaomi,terima kasih xiaomi,Positif,3,19,Sangat Singkat (≤3 kata)
Xiaomi Redmi Buds 6 Active,5,Ok mantaap soundnya,ok mantaap soundnya,Positif,3,19,Sangat Singkat (≤3 kata)
Xiaomi Robot Vacuum S40C,5,"Pertama beli robot vakum tadinya skeptis, a pleasant surprise dg efektifitas nya. Lasernya akurat dlm memetakan jd nggak ada yg kelewat dan dlm navigasi jd nggak sering n...",pertama beli robot vakum tadinya skeptis a pleasant surprise dg efektifitas nya lasernya akurat dlm memetakan jd nggak ada yg kelewat dan dlm navigasi jd nggak sering n,Positif,28,173,Panjang (>15 kata)
Xiaomi Redmi A7 Pro (4+64 GB) (4+128 GB),5,mantul,mantul,Positif,1,6,Sangat Singkat (≤3 kata)
Xiaomi 17T (12GB+256GB),5,"barang diterima dengan baik, masih bersegel n terbungkus dgn rapi n aman,sdh dicoba,hp berfungsi baik.. semua sesuai dgn yg sy harap",barang diterima dengan baik masih bersegel n terbungkus dgn rapi n aman sdh dicoba hp berfungsi baik semua sesuai dgn yg sy harap,Positif,23,132,Panjang (>15 kata)
Xiaomi 17T (12GB+256GB),5,"masih segel,, cuma minus kemasan kardus packing nya aja yg penyok + sampai ada lubang,, untung barang di dlam nya aman.",masih segel cuma minus kemasan kardus packing nya aja yg penyok sampai ada lubang untung barang di dlam nya aman,Positif,20,119,Panjang (>15 kata)
Xiaomi Smart Camera C301,5,"original n good product, fast response, recommended seller. thank you.",original n good product fast response recommended seller thank you,Positif,10,70,Sedang (9–15 kata)
Xiaomi Outdoor Camera CW300,5,"original n good product, fast response, recommended seller. thank you.",original n good product fast response recommended seller thank you,Positif,10,70,Sedang (9–15 kata)
Xiaomi TV Stick 4K 2nd Gen,5,barang sampai dengan aman langsung d coba berfungsi dengan baik thanks ya,barang sampai dengan aman langsung d coba berfungsi dengan baik thanks ya,Positif,12,73,Sedang (9–15 kata)
Xiaomi 17T (12GB+256GB),5,Build quality Xiaomi sangat bagus.. Warna violetnya kalem keren.. Performa mesin & kamera mantap.. Proses dan pengiriman cepat. Packaging aman,build quality xiaomi sangat bagus warna violetnya kalem keren performa mesin kamera mantap proses dan pengiriman cepat packaging aman,Positif,19,142,Panjang (>15 kata)
"Xiaomi TV A 43"" FHD 2026",5,"pengiriman cepat, dapat harga khusus tanggal kembar",pengiriman cepat dapat harga khusus tanggal kembar,Positif,7,51,Singkat (4–8 kata)
Xiaomi Redmi Buds 8 Pro,5,"On time , sesuai, bagus…semoga awet.",on time sesuai bagus semoga awet,Positif,6,36,Singkat (4–8 kata)
Xiaomi 3A USB-A to USB-C Cable (1m),4,Produk saya rasa ini emang original dari xiaomi nya... tapi sangat disayangkan... kusus untuk produk kabel yang USB 3A ini tidak mendukung pengisian Mi Turbo nya di karna...,produk saya rasa ini emang original dari xiaomi nya tapi sangat disayangkan kusus untuk produk kabel yang usb 3a ini tidak mendukung pengisian mi turbo nya di karna,Positif,28,173,Panjang (>15 kata)
Xiaomi Redmi Pad 2 Series,5,mantap,mantap,Positif,1,6,Sangat Singkat (≤3 kata)
POCO X8 Pro Series,5,Kerenn,kerenn,Positif,1,6,Sangat Singkat (≤3 kata)
POCO X8 Pro Series,5,josssss,josssss,Positif,1,7,Sangat Singkat (≤3 kata)
Xiaomi Redmi Watch 5 Active,5,"harga bersaing, pengiriman cepat",harga bersaing pengiriman cepat,Positif,4,32,Singkat (4–8 kata)
Xiaomi Power Bank 22.5W 10000mAh Lite,5,mantap,mantap,Positif,1,6,Sangat Singkat (≤3 kata)
Xiaomi Wifi Range Extender N300,4,kualitas oke,kualitas oke,Positif,2,12,Sangat Singkat (≤3 kata)
Xiaomi Vacuum Cleaner G20,5,kualitas ok barang super mulus tak cacat pengiriman aman,kualitas ok barang super mulus tak cacat pengiriman aman,Positif,9,56,Sedang (9–15 kata)
Xiaomi 17T (12GB+256GB),5,mantap,mantap,Positif,1,6,Sangat Singkat (≤3 kata)
Xiaomi Redmi 15 (8/128) (8/256),5,Bagus,bagus,Positif,1,5,Sangat Singkat (≤3 kata)
