Produk,Rating,Ulasan,Clean_Ulasan,Sentiment,Word_Count,Char_Count,Length_Category
POCO X7 Pro 5G,5,"Barang nyampe disegel, pas dibuka mulus tidak ada cacat. Sejauh ini hp nyaman dipake tidak ada keluhan, semoga terus aman",barang nyampe disegel pas dibuka mulus tidak ada cacat sejauh ini hp nyaman dipake tidak ada keluhan semoga terus aman,Positif,20,121,Panjang (>15 kata)
Xiaomi 17T (12GB+256GB),5,"bagus barang sampai dgn aman, packing rapi dan aman 3 hari dah sampai, dapet bonusnya juga. semoga awet,,,makasih",bagus barang sampai dgn aman packing rapi dan aman 3 hari dah sampai dapet bonusnya juga semoga awet makasih,Positif,19,113,Panjang (>15 kata)
Xiaomi Redmi 15C (6+128) (8+256),5,"barang masih segel resmi, berfungsi dengan baik, packing aman.",barang masih segel resmi berfungsi dengan baik packing aman,Positif,9,62,Sedang (9–15 kata)
Xiaomi Smart Band 9 Active,4,"baterainya cepet habis masa baru 1 minggu udah mau habis, tapi fitur fitur oke lah",baterainya cepet habis masa baru 1 minggu udah mau habis tapi fitur fitur oke lah,Positif,15,82,Sedang (9–15 kata)
POCO M7 (8GB/256GB),5,Barang sudah diterima dengan aman.. terimakasih seller..,barang sudah diterima dengan aman terimakasih seller,Positif,7,56,Singkat (4–8 kata)
Xiaomi Redmi Note 15 (6/128 GB),5,"Alhamdulillah sampai dengan baik, mantap, pengiriman cepat, barang original, segel, gak nyesel beli di official Xiaomi di Tokopedia",alhamdulillah sampai dengan baik mantap pengiriman cepat barang original segel gak nyesel beli di official xiaomi di tokopedia,Positif,18,131,Panjang (>15 kata)
Xiaomi Smart Camera C301 CCTV Indoor,5,"Kejernihan lensa: Bagus
Kualitas pengerjaan: Bagus",kejernihan lensa bagus kualitas pengerjaan bagus,Positif,6,50,Singkat (4–8 kata)
Xiaomi 17T (12GB+256GB),5,makasih buat abang kurirnya🙏🙏🙏,makasih buat abang kurirnya,Positif,4,30,Singkat (4–8 kata)
Xiaomi Pad 8 (8/256GB),5,nice,nice,Positif,1,4,Sangat Singkat (≤3 kata)
Xiaomi 17T (12GB+256GB),5,Terlewat diskon yang lebih gede (T_T),terlewat diskon yang lebih gede t t,Positif,7,37,Singkat (4–8 kata)
POCO X8 Pro Series,5,sip mantep dapet harga tgl kembar,sip mantep dapet harga tgl kembar,Positif,6,33,Singkat (4–8 kata)
POCO X8 Pro Series,5,"pengirimannya cepat, sesuai pesanan dan packing juga rapih dan tebal. respon penjual jg cepat",pengirimannya cepat sesuai pesanan dan packing juga rapih dan tebal respon penjual jg cepat,Positif,14,93,Sedang (9–15 kata)
Xiaomi Earphone Tipe-C,5,earphone bagus dan aman,earphone bagus dan aman,Positif,4,23,Singkat (4–8 kata)
Mi In-Ear Headphones Basic,5,Mantappp,mantappp,Positif,1,8,Sangat Singkat (≤3 kata)
POCO X8 Pro Series,5,"Produk sesuai pesanan, tidak ada kerusakan, masih baru & tersegel.",produk sesuai pesanan tidak ada kerusakan masih baru tersegel,Positif,9,66,Sedang (9–15 kata)
Xiaomi TV Box S (3rd Gen),5,"Pesanan sesuai dengan deskripsi, semua berfungsi baik dan lancar hanya ekspedisinya aja yang agak lambat, thank you",pesanan sesuai dengan deskripsi semua berfungsi baik dan lancar hanya ekspedisinya aja yang agak lambat thank you,Positif,17,115,Panjang (>15 kata)
POCO C81 Pro (4GB/128G) (4GB/64GB),5,"Pengiriman agak lama, tolong kedepannya bubble wrap nya jangan pelit ya. Barang bagus",pengiriman agak lama tolong kedepannya bubble wrap nya jangan pelit ya barang bagus,Positif,13,85,Sedang (9–15 kata)
Xiaomi 17T (12GB+256GB),5,Paket sudah diterima. Menunggu unboxing krn masih di luar kota. Biasanya sih aman beli di Xiaomi Indonesia. Terimakasih,paket sudah diterima menunggu unboxing krn masih di luar kota biasanya sih aman beli di xiaomi indonesia terimakasih,Positif,18,119,Panjang (>15 kata)
Xiaomi 17T (12GB+256GB),5,"Mantap, hp sama hadiah headphone nya nyampe dengan baik, full segel, dan keadaannya gress baru semua. Terimakasih Xiaomi Indonesia 👍",mantap hp sama hadiah headphone nya nyampe dengan baik full segel dan keadaannya gress baru semua terimakasih xiaomi indonesia,Positif,19,132,Panjang (>15 kata)
POCO F8 Series,5,ok barang bagus,ok barang bagus,Positif,3,15,Sangat Singkat (≤3 kata)
Xiaomi 4K Monitor A27Ui,5,"Sesuai deskripsi, built quality sangat baik, color accuracy menggunakan mac diluar ekspektasi.

Overall, produk yang sangat saya rekomendasikan dengan price point tersebu...",sesuai deskripsi built quality sangat baik color accuracy menggunakan mac diluar ekspektasi overall produk yang sangat saya rekomendasikan dengan price point tersebu,Positif,22,173,Panjang (>15 kata)
POCO X8 Pro Series,5,bagus baramg segel barang ori,bagus baramg segel barang ori,Positif,5,29,Singkat (4–8 kata)
Xiaomi 100W Charging Combo (Type-A) EU,5,okee sesuai 100w,okee sesuai 100w,Positif,3,16,Sangat Singkat (≤3 kata)
POCO M7 (8GB/256GB),5,"Sorry baru review, barang sudah diterima sampai dengan selamat. Warna sesuai ibu saya suka dan senang.",sorry baru review barang sudah diterima sampai dengan selamat warna sesuai ibu saya suka dan senang,Positif,16,102,Panjang (>15 kata)
Xiaomi 17T (12GB+256GB),5,bagus,bagus,Positif,1,5,Sangat Singkat (≤3 kata)
Xiaomi Curved Gaming Monitor G34WQi,5,Monitornya keren,monitornya keren,Positif,2,16,Sangat Singkat (≤3 kata)
Xiaomi 17T (12GB+256GB),5,"Good service.
Pengiriman cepat.
Packing produk bagus.
Recommended seller.",good service pengiriman cepat packing produk bagus recommended seller,Positif,9,73,Sedang (9–15 kata)
Xiaomi Wifi Range Extender N300,5,mantaaap paketnya,mantaaap paketnya,Positif,2,17,Sangat Singkat (≤3 kata)
Xiaomi 17T (12GB+256GB),5,josss,josss,Positif,1,5,Sangat Singkat (≤3 kata)
Xiaomi Smart Air Purifier 4 Lite,5,bagus. original.,bagus original,Positif,2,16,Sangat Singkat (≤3 kata)
Xiaomi 17T (12GB+256GB),5,mntap,mntap,Positif,1,5,Sangat Singkat (≤3 kata)
Xiaomi 17T (12GB+256GB),5,"Upgrade dari 13T, Barang oke, Packing rapi, 4 hari udah sampai kalimantan. barang sudah dicoba semoga tidak ada kendala kedepannnya. Thank you Xiaomi",upgrade dari 13t barang oke packing rapi 4 hari udah sampai kalimantan barang sudah dicoba semoga tidak ada kendala kedepannnya thank you xiaomi,Positif,23,149,Panjang (>15 kata)
Xiaomi Redmi 15C (6+128) (8+256),5,Seller ramah.barang bagus.packing aman.garansi resmi.semua normal,seller ramah barang bagus packing aman garansi resmi semua normal,Positif,10,65,Sedang (9–15 kata)
Xiaomi Nose Hair Trimmer,5,MANTAP,mantap,Positif,1,6,Sangat Singkat (≤3 kata)
Xiaomi Electric Shaver S101,5,MANTAP,mantap,Positif,1,6,Sangat Singkat (≤3 kata)
Xiaomi Earphone Tipe-C,5,Harga murah gak murahan. Suara bass kentara. Kiriman cepat.,harga murah gak murahan suara bass kentara kiriman cepat,Positif,9,59,Sedang (9–15 kata)
Xiaomi Earphone Tipe-C,5,"Pengiriman cepat, barang bagus, suaranya mantabz",pengiriman cepat barang bagus suaranya mantabz,Positif,6,48,Singkat (4–8 kata)
Xiaomi Redmi Watch 5 Active,5,barang segel dan masih baru mulus berfungsi dengan baik terimakasih,barang segel dan masih baru mulus berfungsi dengan baik terimakasih,Positif,10,67,Sedang (9–15 kata)
Xiaomi 17T (12GB+256GB),5,sesuai pesanan dan deskripsi,sesuai pesanan dan deskripsi,Positif,4,28,Singkat (4–8 kata)
Xiaomi 17T (12GB+256GB),5,terima kasih xiaomi indonesia🙏🙏❤️❤️,terima kasih xiaomi indonesia,Positif,4,35,Singkat (4–8 kata)
Xiaomi Redmi 15C (6+128) (8+256),5,"Ada satu yang saya rasa rusak sistem pada hp ini, yaitu pengaturan font tidak bisa diatur di hape ini, jadi pada saat buka app, tulisannya tidak proporsional, terlalu bes...",ada satu yang saya rasa rusak sistem pada hp ini yaitu pengaturan font tidak bisa diatur di hape ini jadi pada saat buka app tulisannya tidak proporsional terlalu bes,Positif,29,173,Panjang (>15 kata)
Xiaomi Pad 8 (8/256GB),5,oke mantaaapp,oke mantaaapp,Positif,2,13,Sangat Singkat (≤3 kata)
Xiaomi 17T (12GB+256GB),5,"Barang aman, pengiriman ke Kalimantan 5 hari",barang aman pengiriman ke kalimantan 5 hari,Positif,7,44,Singkat (4–8 kata)
Xiaomi 17T (12GB+256GB),5,barangnya sudah sampai di tempat tujuan dengan selamat terimakasih banyak,barangnya sudah sampai di tempat tujuan dengan selamat terimakasih banyak,Positif,10,73,Sedang (9–15 kata)
Mijia Smart Air Purifier 6,5,Recomended seller banget barang sesuai dengan pesanan,recomended seller banget barang sesuai dengan pesanan,Positif,7,53,Singkat (4–8 kata)
Xiaomi 17T (12GB+256GB),5,"Akhirnya nyampe jg ... 
Produk sesuai deskripsi... harga ramah, seller gercep minus di ekspedisinya aja",akhirnya nyampe jg produk sesuai deskripsi harga ramah seller gercep minus di ekspedisinya aja,Positif,14,103,Sedang (9–15 kata)
Xiaomi 17T (12GB+256GB),5,dapet harga promo dan bonus headset,dapet harga promo dan bonus headset,Positif,6,35,Singkat (4–8 kata)
POCO X7 Pro 5G,5,makasih,makasih,Positif,1,7,Sangat Singkat (≤3 kata)
Xiaomi 17T (12GB+256GB),5,Pengiriman cepat dan harga bagus dan kualitas mantap,pengiriman cepat dan harga bagus dan kualitas mantap,Positif,8,52,Singkat (4–8 kata)
POCO Pad M1 (8GB/256GB),5,gurih m1 ini nde best,gurih m1 ini nde best,Positif,5,21,Singkat (4–8 kata)
Xiaomi Redmi Buds 6 Play,1,"pengiriman 2 minggu, penjual gk mau hubungi jasa pengirim,",pengiriman 2 minggu penjual gk mau hubungi jasa pengirim,Negatif,9,58,Sedang (9–15 kata)
Xiaomi 17T (12GB+256GB),5,"baguss, sesuai",baguss sesuai,Positif,2,14,Sangat Singkat (≤3 kata)
Xiaomi Smart Camera C302,4,produk nya mantap. pelayanan oke.,produk nya mantap pelayanan oke,Positif,5,33,Singkat (4–8 kata)
Xiaomi 17T (12GB+256GB),5,nice,nice,Positif,1,4,Sangat Singkat (≤3 kata)
Xiaomi 17T (12GB+256GB),5,Nice semoga awet,nice semoga awet,Positif,3,16,Sangat Singkat (≤3 kata)
Xiaomi 17T (12GB+256GB),5,keren,keren,Positif,1,5,Sangat Singkat (≤3 kata)
Xiaomi 17T (12GB+256GB),5,"paket telah di terima.box pengiriman aman dan cepat. handphone normal dan bonus lengkap. 
terimakasih",paket telah di terima box pengiriman aman dan cepat handphone normal dan bonus lengkap terimakasih,Positif,15,101,Sedang (9–15 kata)
Redmi Pad 2 Pro (6GB/128GB) (8GB/256GB),5,"Alhamdulillah redmi pad 2 pro sudah diterima plus pen keyboard, semua dalam kondisi sangat baik. Rekomen buat yg mau cari pad 12 inchi.",alhamdulillah redmi pad 2 pro sudah diterima plus pen keyboard semua dalam kondisi sangat baik rekomen buat yg mau cari pad 12 inchi,Positif,23,135,Panjang (>15 kata)
Xiaomi 17T (12GB+256GB),5,barang Masih segel dan kondisi sangat aman,barang masih segel dan kondisi sangat aman,Positif,7,42,Singkat (4–8 kata)
Xiaomi 17T (12GB+256GB),5,"Barang masih di segel, Pengemasan Aman, dapat Free Headphone Neo, Setelah di aktifkan HP nya berfungsi dengan baik😇😇😇
Garansi Resmi, Fiturnya sangat keren, Ram 12+257G...",barang masih di segel pengemasan aman dapat free headphone neo setelah di aktifkan hp nya berfungsi dengan baik garansi resmi fiturnya sangat keren ram 12 257g,Positif,26,170,Panjang (>15 kata)
Xiaomi Sport Sunglasses,5,barang sesuai.. barang asli.. packing badus toko respon baik.,barang sesuai barang asli packing badus toko respon baik,Positif,9,61,Sedang (9–15 kata)
Xiaomi Watch S5 46mm,5,barang sesuai.. barang asli.. packing badus toko respon baik.,barang sesuai barang asli packing badus toko respon baik,Positif,9,61,Sedang (9–15 kata)
Xiaomi Redmi 15 (8/128) (8/256),5,"barang masih disegel, ada garansi resmi dan kualitas barang original.",barang masih disegel ada garansi resmi dan kualitas barang original,Positif,10,69,Sedang (9–15 kata)
Xiaomi 17T (12GB+256GB),5,"keren, semoga awet mi 17T ini",keren semoga awet mi 17t ini,Positif,6,29,Singkat (4–8 kata)
POCO X8 Pro Series,5,barang baguuuusss,barang baguuuusss,Positif,2,17,Sangat Singkat (≤3 kata)
Xiaomi 17T (12GB+256GB),5,"cuman bisa upload 30 detik.

kardus luarnya sih bopeng2. dan mulai sobek.
tp untungnya dalam nya utuh dan baik2 saja.
masih tersegel jg.",cuman bisa upload 30 detik kardus luarnya sih bopeng2 dan mulai sobek tp untungnya dalam nya utuh dan baik2 saja masih tersegel jg,Positif,23,136,Panjang (>15 kata)
Xiaomi 17T (12GB+256GB),5,"bagus, segel, smg awet. bonus headphone juga mantab",bagus segel smg awet bonus headphone juga mantab,Positif,8,51,Singkat (4–8 kata)
Xiaomi 17T (12GB+256GB),5,"packagingnya sangat mengkhawatirkan, tipis banget untuk pengiriman ke luar pulau dan pada saat sudah sampai kardusnya kebuka, untungnya kurir amanah and paketnya masih ad...",packagingnya sangat mengkhawatirkan tipis banget untuk pengiriman ke luar pulau dan pada saat sudah sampai kardusnya kebuka untungnya kurir amanah and paketnya masih ad,Positif,24,173,Panjang (>15 kata)
Xiaomi TV A 32,5,bagussss,bagussss,Positif,1,8,Sangat Singkat (≤3 kata)
Xiaomi Pad 8 (8/256GB),5,"barang dijamin ori, komunikasi seller bagus, barang sesuai deskripsi",barang dijamin ori komunikasi seller bagus barang sesuai deskripsi,Positif,9,68,Sedang (9–15 kata)
POCO X8 Pro Series,5,"Produk bagus original dan garansi resmi, serta sampai dengan aman dan selamat, Terimakasih Tokopedia, Seller dan Kurir.",produk bagus original dan garansi resmi serta sampai dengan aman dan selamat terimakasih tokopedia seller dan kurir,Positif,17,119,Panjang (>15 kata)
POCO X7 Pro 5G,5,"Produk bagus, original dan garansi resmi, pengiriman aman, sampai dengan selamat, Terimakasih Tokopedia, Seller dan Kurir.",produk bagus original dan garansi resmi pengiriman aman sampai dengan selamat terimakasih tokopedia seller dan kurir,Positif,16,122,Panjang (>15 kata)
POCO X7 Pro 5G,5,"Produk original dan garansi resmi, aman dan bagus, sampai dengan selamat, Terimakasih Tokopedia, Seller dan Kurir.",produk original dan garansi resmi aman dan bagus sampai dengan selamat terimakasih tokopedia seller dan kurir,Positif,16,114,Panjang (>15 kata)
Xiaomi TV A 32,5,barang ori,barang ori,Positif,2,10,Sangat Singkat (≤3 kata)
POCO X7 Pro 5G,5,"barang berfungsi dgn  baik,, ada garansinya dan masih segel waktu sampai..",barang berfungsi dgn baik ada garansinya dan masih segel waktu sampai,Positif,11,74,Sedang (9–15 kata)
POCO M7 (8GB/256GB),5,"Barang masih di segel waktu sampai , setelah dibuka ada garansinya.. kualitas juga oke..",barang masih di segel waktu sampai setelah dibuka ada garansinya kualitas juga oke,Positif,13,88,Sedang (9–15 kata)
POCO M7 Pro 5G (8/256G),5,"Kualitas barang oke,, barang masih segel dan ada garansi resminya",kualitas barang oke barang masih segel dan ada garansi resminya,Positif,10,65,Sedang (9–15 kata)
POCO M7 (8GB/256GB),5,Barang masih segel dan bergaransi resmi .. packing aman dan pengiriman cepat,barang masih segel dan bergaransi resmi packing aman dan pengiriman cepat,Positif,11,76,Sedang (9–15 kata)
POCO X8 Pro Series,5,"Barang masih segel dan bergaransi resmi ,, packing rapi dan pengiriman cepat",barang masih segel dan bergaransi resmi packing rapi dan pengiriman cepat,Positif,11,76,Sedang (9–15 kata)
POCO X8 Pro Series,3,pengiriman jelek. Barang sudah di lokasi pembeli tapi di keep sama ekspedisi (antareja) kalau tidak didesak tidak bakal di antar.,pengiriman jelek barang sudah di lokasi pembeli tapi di keep sama ekspedisi antareja kalau tidak didesak tidak bakal di antar,Netral,20,129,Panjang (>15 kata)
Xiaomi Pad 8 (8/256GB),5,"paket tersegel, dan kondisi baik, lengkap sesuai pesanan... terimakasih seller terimakasih kurir",paket tersegel dan kondisi baik lengkap sesuai pesanan terimakasih seller terimakasih kurir,Positif,12,96,Sedang (9–15 kata)
Xiaomi 17T (12GB+256GB),5,Kelazzzz 17T,kelazzzz 17t,Positif,2,12,Sangat Singkat (≤3 kata)
POCO M7 (8GB/256GB),5,"bagus.. 
pengiriman cepat..",bagus pengiriman cepat,Positif,3,27,Sangat Singkat (≤3 kata)
Xiaomi 17T (12GB+256GB),5,"Sangat puas belanja di toko ini! Xiaomi 17T Opal White sudah sampai dengan aman dan kondisinya 100% baru (BNIB) serta segel resmi. Pengirimannya sangat cepat, packing jug...",sangat puas belanja di toko ini xiaomi 17t opal white sudah sampai dengan aman dan kondisinya 100 baru bnib serta segel resmi pengirimannya sangat cepat packing jug,Positif,27,173,Panjang (>15 kata)
POCO X7 Pro 5G,5,"pengiriman cepat, packing aman dan mantap, poco emang berkualitas spek gahar, design ganteng, ttp ringan, charger kuenceng, kamera keren",pengiriman cepat packing aman dan mantap poco emang berkualitas spek gahar design ganteng ttp ringan charger kuenceng kamera keren,Positif,19,136,Panjang (>15 kata)
Xiaomi Redmi Note 15 (6/128 GB),5,"Barang masih di segel, aman packaging nya, pengiriman juga cepat. Untuk kecepatan hp entarh karena baru atau gimana dia aga sedikit lambat.",barang masih di segel aman packaging nya pengiriman juga cepat untuk kecepatan hp entarh karena baru atau gimana dia aga sedikit lambat,Positif,22,139,Panjang (>15 kata)
POCO F8 Series,5,"Terima kasih barang diterima dengan aman kerdus tidak penyok, isi sesuai dan asli",terima kasih barang diterima dengan aman kerdus tidak penyok isi sesuai dan asli,Positif,13,81,Sedang (9–15 kata)
Xiaomi 17T (12GB+256GB),5,Jossjis barangnya,jossjis barangnya,Positif,2,17,Sangat Singkat (≤3 kata)
Xiaomi Redmi Note 15 Pro 5G (8/256GB) (12/512GB),5,"packing aman, berfungsi dgn baik, produk resmi tentunya",packing aman berfungsi dgn baik produk resmi tentunya,Positif,8,55,Singkat (4–8 kata)
Xiaomi Smart Band 9 Active,5,mantabss..,mantabss,Positif,1,10,Sangat Singkat (≤3 kata)
Xiaomi Redmi 15C (6+128) (8+256),5,ori ya terima kasih . delivery cepet bgt cuma 2 hari sampai. terima kasih xiaomi,ori ya terima kasih delivery cepet bgt cuma 2 hari sampai terima kasih xiaomi,Positif,14,80,Sedang (9–15 kata)
Mi WiFi Range Extender AC1200 High Speed,5,barang berfungsi normal,barang berfungsi normal,Positif,3,23,Sangat Singkat (≤3 kata)
Mi WiFi Range Extender AC1200 High Speed,5,not bad,not bad,Positif,2,7,Sangat Singkat (≤3 kata)
POCO X8 Pro Series,5,"barang ori, kualitas bagus",barang ori kualitas bagus,Positif,4,26,Singkat (4–8 kata)
POCO X7 Pro 5G,5,mantap,mantap,Positif,1,6,Sangat Singkat (≤3 kata)
Xiaomi 17T (12GB+256GB),5,"Barang masih segel utuh, packing aman dan isinya sesuai ekspektasi pokoknya mantap Xiaomi",barang masih segel utuh packing aman dan isinya sesuai ekspektasi pokoknya mantap xiaomi,Positif,13,89,Sedang (9–15 kata)
Xiaomi 33W Power Bank 20.000 mAh,5,"barang original, berfungsi baik",barang original berfungsi baik,Positif,4,31,Singkat (4–8 kata)
Xiaomi REDMI Watch 6,5,istimewa.,istimewa,Positif,1,9,Sangat Singkat (≤3 kata)
Xiaomi 17T (12GB+256GB),5,mantap betul... bonus nya keren...,mantap betul bonus nya keren,Positif,5,34,Singkat (4–8 kata)
POCO X7 Pro 5G,5,"original, pengiriman dijamin aman. seller dan kurir sangat amanah thanks good job👍👍",original pengiriman dijamin aman seller dan kurir sangat amanah thanks good job,Positif,12,83,Sedang (9–15 kata)
Xiaomi 17T (12GB+256GB),5,"Barang mantap, sampe dengan selamat, ga salah juga milih warna putih, cakep beutt",barang mantap sampe dengan selamat ga salah juga milih warna putih cakep beutt,Positif,13,81,Sedang (9–15 kata)
POCO M7 (8GB/256GB),5,"barang sampai dengan aman dan dalam kondisi baik, saya mending beli di official store yang terjamin kualitasnya",barang sampai dengan aman dan dalam kondisi baik saya mending beli di official store yang terjamin kualitasnya,Positif,17,111,Panjang (>15 kata)
Xiaomi 17T (12GB+256GB),5,"hp cakep, upgrade dari 12T ke 17T. belum terlalu berasa si bedanya, tp sejauh ini oke .
edit. kameranya jos si ini .",hp cakep upgrade dari 12t ke 17t belum terlalu berasa si bedanya tp sejauh ini oke edit kameranya jos si ini,Positif,21,116,Panjang (>15 kata)
POCO C85 (6/128) (8/256),5,Yg kesekian..good xiaomi,yg kesekian good xiaomi,Positif,4,24,Singkat (4–8 kata)
Xiaomi 17T (12GB+256GB),5,sampai dengan selamat dan barang sesuai pesanan,sampai dengan selamat dan barang sesuai pesanan,Positif,7,47,Singkat (4–8 kata)
POCO F8 Series,5,mantap,mantap,Positif,1,6,Sangat Singkat (≤3 kata)
Xiaomi 17T (12GB+256GB),5,"Barang datang dengan selamat, dapat bonus juga(tapi boxs bonus headphones nya bolong dikit karena wraping kurang rapi)",barang datang dengan selamat dapat bonus juga tapi boxs bonus headphones nya bolong dikit karena wraping kurang rapi,Positif,18,118,Panjang (>15 kata)
Xiaomi Redmi 15 (8/128) (8/256),5,good,good,Positif,1,4,Sangat Singkat (≤3 kata)
POCO M7 Pro 5G (8/256G),5,"barang meluncur dengan selamat alhamdulillah..
semoga awett.aaminn",barang meluncur dengan selamat alhamdulillah semoga awett aaminn,Positif,8,66,Singkat (4–8 kata)
Xiaomi Redmi 15C (6+128) (8+256),5,asli original,asli original,Positif,2,13,Sangat Singkat (≤3 kata)
Xiaomi REDMI Watch 6,5,"Berfungsi dengan baik👍🏻, diterima dengan aman, thx u Xiaomi",berfungsi dengan baik diterima dengan aman thx u xiaomi,Positif,9,59,Sedang (9–15 kata)
Xiaomi 17T (12GB+256GB),5,"terima kasih, mantab.",terima kasih mantab,Positif,3,21,Sangat Singkat (≤3 kata)
Xiaomi 17T (12GB+256GB),5,"gak nyesel beli, pengiriman cepat HP nya aman sampai tujuan",gak nyesel beli pengiriman cepat hp nya aman sampai tujuan,Positif,10,59,Sedang (9–15 kata)
POCO X8 Pro Series,5,"Terimakasih banyak...
semuanya mulus.
sesuai deskripsi performa ok, sudah ai jadi banyak pilihannya.",terimakasih banyak semuanya mulus sesuai deskripsi performa ok sudah ai jadi banyak pilihannya,Positif,13,100,Sedang (9–15 kata)
Xiaomi Redmi Note 15 (8/128 GB) (8/256 GB),5,👍🏻👍🏻👍🏻,,Positif,0,6,Sangat Singkat (≤3 kata)
Xiaomi 17T (12GB+256GB),5,mantap hpnya,mantap hpnya,Positif,2,12,Sangat Singkat (≤3 kata)
POCO M7 Pro 5G (8/256G),5,"barang original
terima kasih",barang original terima kasih,Positif,4,28,Singkat (4–8 kata)
Xiaomi 17T (12GB+256GB),5,makasih min bonus Headphones nya,makasih min bonus headphones nya,Positif,5,32,Singkat (4–8 kata)
Xiaomi Smart Band 9 Active,5,"Packing aman,barang cepet sampe. Mantaaaap",packing aman barang cepet sampe mantaaaap,Positif,6,42,Singkat (4–8 kata)
Xiaomi Redmi Note 15 (8/128 GB) (8/256 GB),5,barang udh sampe. alhamdulillah mulus gaada yg kurang. semoga hpnya awettt,barang udh sampe alhamdulillah mulus gaada yg kurang semoga hpnya awettt,Positif,11,74,Sedang (9–15 kata)
Xiaomi Power Bank 22.5W 10000mAh Lite,5,"Terima kasih, powerbank telah sampai dg cepat dan selamat, bagus sesuai deskripsi. Semoga awet dan sukses untuk semuanya",terima kasih powerbank telah sampai dg cepat dan selamat bagus sesuai deskripsi semoga awet dan sukses untuk semuanya,Positif,18,120,Panjang (>15 kata)
POCO X8 Pro Series,5,mantap sesuai,mantap sesuai,Positif,2,13,Sangat Singkat (≤3 kata)
Xiaomi Redmi A7 Pro (4+64 GB) (4+128 GB),5,"alhamdulilah nyampe , buat mamah senang sekali",alhamdulilah nyampe buat mamah senang sekali,Positif,6,46,Singkat (4–8 kata)
POCO X8 Pro Series,5,Bagus dan Sesuai 🤳,bagus dan sesuai,Positif,3,18,Sangat Singkat (≤3 kata)
POCO X8 Pro Series,5,"Mendarat dengan aman, langsung tes.
Respon toko satset, pengiriman cepat.",mendarat dengan aman langsung tes respon toko satset pengiriman cepat,Positif,10,73,Sedang (9–15 kata)
POCO X8 Pro Series,5,"Bagus banget, paket aman. Hp berfungsi dengan baik, semoga awet👍🏼",bagus banget paket aman hp berfungsi dengan baik semoga awet,Positif,10,65,Sedang (9–15 kata)
POCO F8 Series,5,oooooookkkkkkkkkkkkk,oooooookkkkkkkkkkkkk,Positif,1,20,Sangat Singkat (≤3 kata)
Xiaomi Redmi Watch 5 Active,5,"unit sesuai dengan deskripsi, terkirim dengan aman, sangat direkomendasikan",unit sesuai dengan deskripsi terkirim dengan aman sangat direkomendasikan,Positif,9,75,Sedang (9–15 kata)
POCO C71 4+4G/128G,5,Pengiriman cepat barang original,pengiriman cepat barang original,Positif,4,32,Singkat (4–8 kata)
Xiaomi Redmi Buds 8 Lite,5,🥰😍😍,,Positif,0,3,Sangat Singkat (≤3 kata)
Xiaomi Earphone Tipe-C,4,cukup lah suaranya,cukup lah suaranya,Positif,3,18,Sangat Singkat (≤3 kata)
POCO X8 Pro Series,5,"barang masih disegel aman, datangnya juga cepat, dan abang kurirnya baik..",barang masih disegel aman datangnya juga cepat dan abang kurirnya baik,Positif,11,74,Sedang (9–15 kata)
POCO X8 Pro Series,5,"udh pasti dari pabriknya mulus, tapi dari expedisi nya maen lempar paket aja jadi box nya penyok dikit
tapi barang 1000% Baru dan segel miqr. com",udh pasti dari pabriknya mulus tapi dari expedisi nya maen lempar paket aja jadi box nya penyok dikit tapi barang 1000 baru dan segel miqr com,Positif,26,145,Panjang (>15 kata)
Xiaomi REDMI Pad 2 9.7 (4GB/64GB),5,"Barang sampai tanpa penyok,cepat tiba,barang original ,terima kasih",barang sampai tanpa penyok cepat tiba barang original terima kasih,Positif,10,67,Sedang (9–15 kata)
Xiaomi 17T (12GB+256GB),5,"Baru sempat unboxing dr kardus packingnya, tp belum unboxing dr dus hp nya. Sepertinya ok. Semoga awet dan memuaskan. Seller gercep, pengiriman cepat",baru sempat unboxing dr kardus packingnya tp belum unboxing dr dus hp nya sepertinya ok semoga awet dan memuaskan seller gercep pengiriman cepat,Positif,23,149,Panjang (>15 kata)
Xiaomi Earphone Tipe-C,5,"Barang sampai dengan selamat,pengiriman cepat,untuk harga segini,suara yg dihasilkan sudah lumayan,dengan vocal dan bass yg tidak tabrakan,terimakasih seller",barang sampai dengan selamat pengiriman cepat untuk harga segini suara yg dihasilkan sudah lumayan dengan vocal dan bass yg tidak tabrakan terimakasih seller,Positif,23,157,Panjang (>15 kata)
Xiaomi Earphone Tipe-C,5,"Suara nya Ajib,,",suara nya ajib,Positif,3,16,Sangat Singkat (≤3 kata)
POCO X7 Pro 5G,5,good job,good job,Positif,2,8,Sangat Singkat (≤3 kata)
Xiaomi Tag,5,Barang sesuai pesanan dan sudah dicoba dan berfungsi,barang sesuai pesanan dan sudah dicoba dan berfungsi,Positif,8,52,Singkat (4–8 kata)
Xiaomi 100W Charging Combo (Type-A) EU,5,barang ori dan seller amanah,barang ori dan seller amanah,Positif,5,28,Singkat (4–8 kata)
Xiaomi Pad 8 (8/256GB),4,"Barang sih bagus ya, cuman dari suara spiker jelek banget wkwkwk, lebih bagus huawei sih, selebihnya oke lah dengan harga segitu kebantu proci yg mayan kenceng",barang sih bagus ya cuman dari suara spiker jelek banget wkwkwk lebih bagus huawei sih selebihnya oke lah dengan harga segitu kebantu proci yg mayan kenceng,Positif,26,159,Panjang (>15 kata)
